session_id,participant_id,technique,origin,annotation_status,frames,segments
synthetic-jab-0001-6893a547,,jab,synthetic,synthetic_verified,20,5
synthetic-jab-0002-9a89770c,,jab,synthetic,synthetic_verified,94,18
synthetic-jab-0003-2ba9acb1,,jab,synthetic,synthetic_verified,171,20
synthetic-jab-0004-d389f33b,,jab,synthetic,synthetic_verified,123,20
synthetic-jab-0005-a930fe8e,,jab,synthetic,synthetic_verified,42,3
synthetic-jab-0006-a6a8d97f,,jab,synthetic,synthetic_verified,121,18
synthetic-jab-0007-3029ffb2,,jab,synthetic,synthetic_verified,40,3
synthetic-jab-0008-06630a55,,jab,synthetic,synthetic_verified,171,18
synthetic-jab-0009-27013483,,jab,synthetic,synthetic_verified,104,10
synthetic-jab-0010-055a96cf,,jab,synthetic,synthetic_verified,40,5
synthetic-jab-0011-6222972d,,jab,synthetic,synthetic_verified,93,15
synthetic-jab-0012-47191fa9,,jab,synthetic,synthetic_verified,126,17
synthetic-jab-0013-5a3a3609,,jab,synthetic,synthetic_verified,83,17
synthetic-jab-0014-e6d43ea1,,jab,synthetic,synthetic_verified,104,10
synthetic-jab-0015-c243cd3f,,jab,synthetic,synthetic_verified,147,15
synthetic-jab-0016-689b4d6f,,jab,synthetic,synthetic_verified,22,6
synthetic-jab-0017-62d68fe7,,jab,synthetic,synthetic_verified,64,14
synthetic-jab-0018-90e313e1,,jab,synthetic,synthetic_verified,101,10
synthetic-jab-0019-09fe9601,,jab,synthetic,synthetic_verified,73,8
synthetic-jab-0020-64ca979b,,jab,synthetic,synthetic_verified,131,20
synthetic-jab-0021-83c2bf6d,,jab,synthetic,synthetic_verified,83,10
synthetic-jab-0022-c1ec9318,,jab,synthetic,synthetic_verified,41,5
synthetic-jab-0023-0b62be57,,jab,synthetic,synthetic_verified,104,10
synthetic-jab-0024-d93455cc,,jab,synthetic,synthetic_verified,93,15
synthetic-front-kick-0001-4f373df9,,front-kick,synthetic,synthetic_verified,206,20
synthetic-front-kick-0002-0cf18245,,front-kick,synthetic,synthetic_verified,98,15
synthetic-front-kick-0003-a7cce409,,front-kick,synthetic,synthetic_verified,94,10
synthetic-front-kick-0004-435e8cf0,,front-kick,synthetic,synthetic_verified,168,20
synthetic-front-kick-0005-4b4e1cbc,,front-kick,synthetic,synthetic_verified,68,10
synthetic-front-kick-0006-35f83bff,,front-kick,synthetic,synthetic_verified,201,20
synthetic-front-kick-0007-0a720cff,,front-kick,synthetic,synthetic_verified,34,7
synthetic-front-kick-0008-8af261d5,,front-kick,synthetic,synthetic_verified,184,20
synthetic-front-kick-0009-dd699d46,,front-kick,synthetic,synthetic_verified,48,7
synthetic-front-kick-0010-9f7b7ad4,,front-kick,synthetic,synthetic_verified,53,8
synthetic-front-kick-0011-60ba2ecd,,front-kick,synthetic,synthetic_verified,121,10
synthetic-front-kick-0012-8920e2d8,,front-kick,synthetic,synthetic_verified,222,18
synthetic-front-kick-0013-ee94345b,,front-kick,synthetic,synthetic_verified,91,15
synthetic-front-kick-0014-2b2b85c0,,front-kick,synthetic,synthetic_verified,56,5
synthetic-front-kick-0015-e4094a9b,,front-kick,synthetic,synthetic_verified,109,10
synthetic-front-kick-0016-d22140a8,,front-kick,synthetic,synthetic_verified,64,7
synthetic-front-kick-0017-31eda91a,,front-kick,synthetic,synthetic_verified,59,10
synthetic-front-kick-0018-0272d8f1,,front-kick,synthetic,synthetic_verified,124,15
synthetic-front-kick-0019-0c0112c5,,front-kick,synthetic,synthetic_verified,52,5
synthetic-front-kick-0020-08ee80fa,,front-kick,synthetic,synthetic_verified,41,3
synthetic-front-kick-0021-73fa2206,,front-kick,synthetic,synthetic_verified,233,20
synthetic-front-kick-0022-ff658503,,front-kick,synthetic,synthetic_verified,183,15
synthetic-front-kick-0023-13cd5ea7,,front-kick,synthetic,synthetic_verified,241,20
synthetic-front-kick-0024-5da2b4c1,,front-kick,synthetic,synthetic_verified,180,15
