split,group
train,jab:synthetic-jab-0021-83c2bf6d
train,jab:synthetic-jab-0006-a6a8d97f
train,jab:synthetic-jab-0014-e6d43ea1
train,jab:synthetic-jab-0004-d389f33b
train,jab:synthetic-jab-0020-64ca979b
train,jab:synthetic-jab-0013-5a3a3609
train,jab:synthetic-jab-0016-689b4d6f
train,jab:synthetic-jab-0010-055a96cf
train,jab:synthetic-jab-0009-27013483
train,jab:synthetic-jab-0018-90e313e1
train,jab:synthetic-jab-0002-9a89770c
train,jab:synthetic-jab-0019-09fe9601
train,jab:synthetic-jab-0008-06630a55
train,jab:synthetic-jab-0001-6893a547
train,jab:synthetic-jab-0012-47191fa9
train,jab:synthetic-jab-0007-3029ffb2
train,front-kick:synthetic-front-kick-0021-73fa2206
train,front-kick:synthetic-front-kick-0008-8af261d5
train,front-kick:synthetic-front-kick-0001-4f373df9
train,front-kick:synthetic-front-kick-0010-9f7b7ad4
train,front-kick:synthetic-front-kick-0023-13cd5ea7
train,front-kick:synthetic-front-kick-0019-0c0112c5
train,front-kick:synthetic-front-kick-0018-0272d8f1
train,front-kick:synthetic-front-kick-0004-435e8cf0
train,front-kick:synthetic-front-kick-0024-5da2b4c1
train,front-kick:synthetic-front-kick-0002-0cf18245
train,front-kick:synthetic-front-kick-0017-31eda91a
train,front-kick:synthetic-front-kick-0006-35f83bff
train,front-kick:synthetic-front-kick-0009-dd699d46
train,front-kick:synthetic-front-kick-0020-08ee80fa
train,front-kick:synthetic-front-kick-0022-ff658503
train,front-kick:synthetic-front-kick-0007-0a720cff
validation,jab:synthetic-jab-0015-c243cd3f
validation,jab:synthetic-jab-0017-62d68fe7
validation,jab:synthetic-jab-0003-2ba9acb1
validation,jab:synthetic-jab-0005-a930fe8e
validation,front-kick:synthetic-front-kick-0011-60ba2ecd
validation,front-kick:synthetic-front-kick-0012-8920e2d8
validation,front-kick:synthetic-front-kick-0015-e4094a9b
validation,front-kick:synthetic-front-kick-0005-4b4e1cbc
test,jab:synthetic-jab-0024-d93455cc
test,jab:synthetic-jab-0011-6222972d
test,jab:synthetic-jab-0023-0b62be57
test,jab:synthetic-jab-0022-c1ec9318
test,front-kick:synthetic-front-kick-0013-ee94345b
test,front-kick:synthetic-front-kick-0003-a7cce409
test,front-kick:synthetic-front-kick-0016-d22140a8
test,front-kick:synthetic-front-kick-0014-2b2b85c0
